,phylum_name,feature_name,coef,coef_sd,lower_95,upper_95,count,significant,permutation_importance,lower_90,upper_90
0,Campylobacterota,5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) (PurP) (PDB:2PBZ) (PUBMED:15623504),1.966484976297944,0.5446370531989337,,,50,True,1.1523555555555556,1.8373514760113254,2.0956184765845625
1,Campylobacterota,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",-1.0464637824015046,0.7436789079791589,,,41,True,0.037333333333333364,-1.2227901265468808,-0.8701374382561284
2,Campylobacterota,"Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains (YheO)",0.12583838418894575,0.36693525441070934,,,7,True,0.0007111111111111068,0.03883799833141502,0.21283877004647644
3,Campylobacterota,Eukaryotic-type DNA primase (LigD) (PDB:5DMU),0.03859343460208676,0.27289679316415094,,,1,False,0.0005333333333333486,-0.026110422602076584,0.10329729180625008
4,Campylobacterota,"Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain (LapB) (PDB:4ZLH) (PUBMED:24187084;24266962)",0.0,0.0,,,0,False,0.0,,
5,Campylobacterota,Methenyltetrahydromethanopterin cyclohydrolase (Mch) (PDB:1QLM),0.0,0.0,,,0,False,0.0,,
6,Campylobacterota,Phage terminase large (ATPase) subunit and inactivated derivatives,0.0,0.0,,,0,False,0.0,,
7,Campylobacterota,"Methyl coenzyme M reductase, beta subunit (McorB) (PDB:5N28)",0.0,0.0,,,0,False,0.0,,
8,Campylobacterota,Uncharacterized conserved protein YraI (YraI) (PDB:2E52),0.0,0.0,,,0,False,0.0,,
9,Campylobacterota,"Uncharacterized conserved protein, DUF1365 family",0.0,0.0,,,0,False,0.0,,
10,Campylobacterota,"Predicted nuclease, contains PIN domain",0.0,0.0,,,0,False,0.0,,
11,Campylobacterota,"Periplasmic chaperone Spy, Spy/CpxP family (CpxP) (PDB:3ITF)",0.0,0.0,,,0,False,0.0,,
12,Campylobacterota,Uncharacterized membrane protein YccC (YccC),0.0,0.0,,,0,False,0.0,,
13,Campylobacterota,Cytochrome c2 (Cyc7) (PDB:1YEA),0.0,0.0,,,0,False,0.0,,
14,Campylobacterota,"Endo-1,4-beta-D-glucanase Y (BcsZ) (PDB:1CEM)",0.0,0.0,,,0,False,0.0,,
15,Campylobacterota,Phosphoribosyl-ATP pyrophosphohydrolase (HisI2) (PDB:6J22),0.0,0.0,,,0,False,0.0,,
16,Campylobacterota,Cobyric acid synthase (CobQ),0.0,0.0,,,0,False,0.0,,
